"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MDG_0000000007","PUBLISHED","2010","WPR","CHN","15.7 [14.8-16.8]","15.70000","14.80000","16.80000",""
"CM_02","PUBLISHED","2002","WPR","CHN","422","422.00000","","",""
"CM_02","PUBLISHED","2003","WPR","CHN","391","391.00000","","",""
"CM_01","PUBLISHED","2003","WPR","CHN","467","467.00000","","",""
"CM_03","PUBLISHED","2008","WPR","CHN","173","173.00000","","",""
"CM_02","PUBLISHED","2008","WPR","CHN","266","266.00000","","",""
"CM_03","PUBLISHED","2014","WPR","CHN","103","103.00000","","",""
"CM_02","PUBLISHED","2014","WPR","CHN","171","171.00000","","",""
"WHS3_49","PUBLISHED","2013","WPR","CHN","0","0.00000","","",""
"DEVICES22","PUBLISHED","2013","WPR","CHN","1.1","1.10496","","","Data from <a href=""http://www-naweb.iaea.org/nahu/dirac/query3.asp"" target=""_blank"">DIRA IAEA radiotherapy database</a>, accessed on February 2014"
"WHS3_45","PUBLISHED","2007","","CHN","1526","1526.00000","","",""
"MALARIA001","PUBLISHED","2009","WPR","CHN","10","10.00000","","",""
"MALARIA001","PUBLISHED","2002","WPR","CHN","42","42.00000","","",""
"WHS3_48","PUBLISHED","2012","WPR","CHN","244","244.00000","","",""
"MDG_0000000017","PUBLISHED","2014","WPR","CHN","2.8 [2.7-2.9]","2.80000","2.70000","2.90000",""
"TB_1","PUBLISHED","2014","WPR","CHN","87 [75-100]","87.00000","75.00000","100.00000",""
"MDG_0000000020","PUBLISHED","2006","WPR","CHN","89 [73-106]","89.00000","73.00000","106.00000",""
"MDG_0000000001","PUBLISHED","2003","WPR","CHN","24.2 [22.9-25.5]","24.20000","22.90000","25.50000",""
"MDG_0000000001","PUBLISHED","2008","WPR","CHN","15.8 [14.9-16.8]","15.80000","14.90000","16.80000",""
"MDG_0000000001","PUBLISHED","2010","WPR","CHN","13.5 [12.7-14.4]","13.50000","12.70000","14.40000",""
"WHOSIS_000003","PUBLISHED","2011","WPR","CHN","7.7 [6.9-8.4]","7.68186","6.94640","8.42930",""
"WHOSIS_000003","PUBLISHED","2013","WPR","CHN","6.5 [5.8-7.1]","6.46333","5.82060","7.14391",""
"CM_03","PUBLISHED","2002","WPR","CHN","298","298.00000","","",""
